Student_ID,Age,Gender,Sleep_Hours,Study_Hours,Screen_Time_Hours,Exercise_Days_Per_Week,Social_Support_Score,Academic_Pressure_Score,Financial_Pressure_Score,Stress_Score,Stress_Level
1,23,Female,7.0,1.9,7.5,2,1,3,3,57.5,Medium
2,21,Female,6.1,5.9,9.7,3,5,3,2,62.7,Medium
3,18,Male,7.2,8.0,2.4,0,3,1,2,47.6,Medium
4,22,Female,8.4,6.1,6.7,2,2,1,1,8.8,Low
5,21,Male,6.0,1.5,4.1,6,3,1,3,29.6,Low
6,20,Male,6.0,3.3,4.4,2,2,2,5,60.2,Medium
7,21,Female,8.5,6.5,4.2,5,2,4,2,49.9,Medium
8,19,Male,7.4,2.9,3.6,1,1,2,2,48.4,Medium
9,19,Female,5.6,5.0,5.6,6,3,4,4,73.6,High
10,20,Male,7.1,5.6,3.7,6,3,4,5,64.5,Medium
11,18,Male,5.7,2.5,6.1,5,5,3,5,54.2,Medium
12,22,Male,5.6,4.1,5.4,5,5,3,2,51.6,Medium
13,21,Male,6.6,0.5,5.0,4,1,4,1,54.7,Medium
14,19,Female,3.6,2.4,3.5,0,1,4,4,84.4,High
15,18,Female,3.9,3.7,4.2,1,4,2,5,54.9,Medium
16,20,Male,5.5,2.0,7.2,3,5,2,2,30.9,Low
17,24,Female,4.9,7.1,6.6,6,2,3,5,64.6,Medium
18,23,Female,6.7,1.6,3.3,3,3,1,4,38.4,Low
19,24,Female,5.0,3.4,5.7,2,1,4,4,81.9,High
20,24,Male,4.3,4.4,7.2,2,3,2,3,52.0,Medium
21,19,Female,8.4,6.8,1.8,3,3,3,2,47.4,Medium
22,20,Male,6.0,1.6,6.7,2,4,2,4,63.8,Medium
23,21,Other,6.4,6.3,4.0,0,5,4,3,61.1,Medium
24,24,Female,4.3,4.2,6.8,5,1,4,3,64.8,Medium
25,24,Female,5.5,2.4,3.8,2,3,5,5,75.5,High
26,22,Female,6.5,5.0,1.5,4,1,1,5,53.3,Medium
27,19,Male,4.7,4.6,1.9,2,2,5,3,83.3,High
28,19,Female,6.8,3.1,5.6,1,4,3,5,56.3,Medium
29,21,Female,5.5,4.3,6.1,0,2,2,4,79.8,High
30,23,Female,5.9,3.5,3.5,1,1,3,1,67.4,Medium
31,18,Male,5.5,4.4,6.9,1,1,4,4,80.5,High
32,22,Female,8.9,5.4,1.8,4,5,5,3,44.2,Medium
33,19,Male,6.3,7.1,5.4,0,3,5,3,79.5,High
34,22,Male,4.8,2.0,2.8,0,3,5,4,77.3,High
35,19,Female,7.5,8.0,4.1,0,2,3,5,80.8,High
36,22,Male,4.6,0.7,5.6,0,4,4,5,82.3,High
37,20,Female,6.6,3.9,3.6,0,3,2,3,57.7,Medium
38,24,Male,3.6,5.3,4.7,4,5,2,2,54.3,Medium
39,19,Male,4.4,4.7,7.7,2,2,3,5,97.6,High
40,22,Male,6.6,3.1,4.2,1,2,5,4,71.2,High
41,18,Female,7.3,3.8,7.3,0,5,1,5,52.1,Medium
42,20,Female,6.5,3.3,3.0,6,4,3,4,28.6,Low
43,20,Female,6.1,3.1,6.7,2,5,3,3,45.1,Medium
44,18,Female,5.9,5.7,8.7,2,4,4,5,82.8,High
45,22,Female,4.2,4.8,1.0,1,5,2,4,55.7,Medium
46,21,Female,5.3,3.0,3.7,4,5,3,3,47.9,Medium
47,18,Female,5.7,5.8,6.8,3,1,3,2,63.0,Medium
48,22,Female,7.8,4.8,5.1,3,2,5,4,72.1,High
49,18,Male,6.8,5.7,6.3,2,5,5,2,78.9,High
50,18,Female,3.8,5.3,4.2,5,5,1,2,34.1,Low
51,19,Female,6.8,2.7,5.7,5,3,4,1,64.2,Medium
52,22,Female,5.8,3.2,5.2,1,2,1,5,63.4,Medium
53,21,Female,5.4,5.5,8.1,3,3,5,4,92.5,High
54,24,Other,7.2,5.3,6.1,2,2,2,2,40.8,Medium
55,19,Female,7.7,4.2,6.2,4,3,5,1,67.4,Medium
56,18,Male,7.6,4.4,4.6,3,5,4,3,49.4,Medium
57,24,Other,5.1,6.5,4.4,2,5,5,4,70.6,High
58,23,Male,5.9,3.1,4.5,2,1,4,2,72.2,High
59,24,Male,6.8,5.2,6.4,0,3,4,5,70.3,High
60,18,Male,7.7,3.8,4.6,4,4,4,1,39.0,Low
61,18,Other,5.6,3.8,6.1,0,1,4,2,77.4,High
62,22,Male,6.0,6.2,10.1,1,3,4,5,100.0,High
63,22,Male,4.8,5.7,7.4,0,3,2,2,58.7,Medium
64,19,Male,4.6,5.7,4.8,6,1,1,4,50.1,Medium
65,21,Male,7.4,6.5,8.1,0,5,3,4,72.2,High
66,19,Male,8.2,4.2,4.6,6,3,1,4,20.8,Low
67,20,Female,6.2,5.4,1.0,3,5,4,1,48.8,Medium
68,18,Female,7.7,3.6,3.3,5,1,2,4,54.8,Medium
69,24,Female,6.8,4.8,1.4,2,5,5,5,66.3,Medium
70,23,Female,5.4,4.0,4.7,6,2,2,2,53.0,Medium
71,18,Female,6.8,4.4,5.5,4,4,4,3,61.7,Medium
72,18,Female,8.5,5.3,9.2,0,3,2,5,58.5,Medium
73,19,Male,6.2,2.7,6.2,6,4,2,5,47.1,Medium
74,23,Female,8.5,8.0,5.0,4,5,4,4,55.0,Medium
75,23,Male,3.0,2.4,7.3,5,3,2,1,51.5,Medium
76,23,Female,7.5,2.0,1.0,5,5,3,2,28.2,Low
77,19,Female,6.4,6.3,6.0,0,2,3,1,67.6,Medium
78,18,Male,5.9,5.6,7.2,1,1,2,2,67.3,Medium
79,19,Male,6.4,5.3,2.2,0,3,5,2,51.3,Medium
80,22,Female,3.5,5.3,8.0,3,2,4,1,78.2,High
81,22,Male,6.0,4.2,6.2,6,2,3,5,53.6,Medium
82,19,Male,6.8,2.6,4.6,2,3,5,2,63.7,Medium
83,23,Female,8.4,4.3,6.9,1,5,2,1,33.7,Low
84,18,Female,5.6,3.0,10.5,0,2,5,2,97.9,High
85,19,Other,5.2,6.0,5.9,4,4,1,3,44.8,Medium
86,19,Male,5.6,3.9,6.0,1,2,3,5,78.5,High
87,19,Male,7.6,2.7,4.5,6,5,2,4,39.0,Low
88,20,Male,6.8,3.6,3.6,1,5,4,2,63.2,Medium
89,22,Female,5.6,4.9,7.3,6,4,2,3,47.6,Medium
90,24,Female,7.0,3.2,3.6,0,2,4,4,71.8,High
91,23,Female,6.4,2.7,5.7,6,5,2,4,39.9,Low
92,21,Male,7.7,4.6,4.4,1,3,5,2,62.6,Medium
93,24,Male,5.3,4.6,6.6,4,1,5,1,70.7,High
94,23,Male,5.8,3.3,6.2,5,1,5,2,56.0,Medium
95,21,Female,5.8,3.4,7.8,1,1,1,3,48.9,Medium
96,20,Female,4.3,4.6,4.4,6,2,4,4,59.3,Medium
97,19,Male,6.7,1.6,4.9,5,4,5,2,66.4,Medium
98,20,Male,6.7,1.7,3.3,6,5,1,1,13.9,Low
99,20,Male,6.3,2.9,4.5,4,3,4,2,55.1,Medium
100,24,Female,6.0,3.8,6.3,6,3,2,5,48.6,Medium
101,18,Male,4.3,4.8,7.2,0,2,1,1,55.6,Medium
102,24,Female,5.7,6.9,3.5,2,1,3,3,61.8,Medium
103,22,Male,5.8,5.7,7.4,1,2,1,4,62.5,Medium
104,21,Female,5.2,3.9,8.5,2,4,1,2,49.0,Medium
105,19,Male,6.1,4.2,6.4,6,4,4,1,44.8,Medium
106,24,Female,6.9,2.4,9.6,4,5,2,5,46.2,Medium
107,21,Male,8.9,4.2,3.8,1,5,3,1,42.0,Medium
108,23,Female,6.5,3.7,2.8,6,4,5,5,65.7,Medium
109,21,Female,6.7,4.8,1.6,5,4,5,3,52.4,Medium
110,23,Female,6.2,2.7,8.8,3,4,1,4,44.9,Medium
111,24,Female,3.6,5.1,6.9,6,2,4,3,70.0,High
112,22,Female,6.3,7.0,5.4,2,4,4,2,64.6,Medium
113,24,Male,6.4,4.0,6.1,1,3,5,1,77.3,High
114,23,Female,9.0,4.9,3.0,2,1,3,5,59.1,Medium
115,21,Male,6.0,5.4,10.9,1,4,2,5,91.8,High
116,21,Male,6.7,3.5,5.8,6,1,3,1,51.4,Medium
117,23,Male,6.3,4.6,5.7,0,2,2,1,53.9,Medium
118,20,Female,4.7,4.2,7.1,5,1,5,2,74.4,High
119,22,Female,7.9,4.4,6.6,6,2,2,3,41.3,Medium
120,18,Male,7.4,2.8,6.0,2,3,4,5,64.4,Medium
121,19,Other,7.4,4.2,3.8,3,2,1,2,16.0,Low
122,21,Female,5.0,5.1,6.5,3,2,1,3,61.4,Medium
123,19,Female,8.3,6.8,9.6,4,5,5,2,62.1,Medium
124,18,Female,4.3,5.9,8.5,1,4,4,5,85.6,High
125,24,Other,7.1,8.1,9.0,2,4,3,1,60.4,Medium
126,19,Female,9.0,2.8,4.4,4,3,4,1,45.1,Medium
127,18,Female,4.9,5.8,3.3,2,3,1,3,45.1,Medium
128,23,Male,5.5,4.5,5.2,1,4,1,4,50.1,Medium
129,20,Female,6.4,8.1,5.6,6,5,4,3,65.7,Medium
130,21,Female,5.6,2.7,7.9,6,4,4,4,63.6,Medium
131,18,Male,4.1,2.7,1.8,3,5,1,2,33.7,Low
132,19,Male,6.4,3.1,8.9,6,3,3,2,39.6,Low
133,21,Female,4.8,0.5,5.2,6,1,5,5,72.0,High
134,20,Female,7.0,3.3,4.6,0,3,5,4,83.0,High
135,23,Female,5.0,2.8,3.3,3,3,4,5,62.5,Medium
136,24,Female,8.5,4.5,1.9,4,2,5,1,53.4,Medium
137,21,Male,5.2,4.8,7.3,5,2,1,4,52.8,Medium
138,24,Female,5.8,7.6,5.7,0,2,1,3,55.7,Medium
139,18,Female,7.4,5.9,2.7,4,2,4,1,45.0,Medium
140,20,Female,4.6,3.2,2.7,1,5,4,1,63.1,Medium
141,19,Male,6.6,2.6,4.8,0,4,4,3,77.9,High
